Date,Open,High,Low,Close,Adj Close,Volume
2003-11-10,9.607440,9.693906,9.559402,9.607440,3.501549,18692752
2003-11-11,9.549795,9.549795,9.472935,9.549795,3.480541,13380319
2003-11-12,9.693906,9.703514,9.482543,9.693906,3.533062,184954576
2003-11-13,9.693906,9.799588,9.607440,9.693906,3.533062,19849046
2003-11-14,9.741944,9.799588,9.645869,9.741944,3.550572,17498417
2003-11-17,9.415291,9.626654,9.386468,9.415291,3.431518,26574762
2003-11-18,9.415291,9.511365,9.328824,9.415291,3.431518,20648083
2003-11-19,9.386468,9.396076,9.232749,9.386468,3.421014,23061614
2003-11-20,9.338431,9.434506,9.194320,9.338431,3.403506,25038420
2003-11-21,9.453720,9.453720,9.300001,9.453720,3.445523,19054012
2003-11-24,9.636262,9.655477,9.444113,9.636262,3.512053,17598677
2003-11-25,9.597832,9.684299,9.559402,9.597832,3.498046,19482153
2003-11-26,9.501758,9.693906,9.501758,9.501758,3.463031,21270771
2003-11-27,9.578617,9.588225,9.530580,9.578617,3.491043,6703334
2003-11-28,9.607440,9.636262,9.492150,9.607440,3.501549,19543074
2003-12-01,9.895663,9.895663,9.645869,9.895663,3.606595,25801137
2003-12-02,9.857233,9.905270,9.770766,9.857233,3.592589,22303620
2003-12-03,9.924485,9.934092,9.780373,9.924485,3.617100,14010666
2003-12-04,9.953307,9.972522,9.809196,9.953307,3.627604,19892058
2003-12-05,9.857233,9.962915,9.818803,9.857233,3.592589,12585450
2003-12-08,9.857233,9.857233,9.857233,9.857233,3.592589,0
2003-12-09,9.857233,9.895663,9.780373,9.857233,3.592589,30355959
2003-12-10,9.799588,9.847626,9.655477,9.799588,3.571579,20620681
2003-12-11,9.905270,9.905270,9.741944,9.905270,3.610097,21052367
2003-12-12,9.876448,9.991737,9.828411,9.876448,3.599592,17599306
2003-12-15,9.914878,10.020559,9.876448,9.914878,3.613599,26816896
2003-12-16,10.001345,10.020559,9.828411,10.001345,3.645112,20469765
2003-12-17,10.020559,10.030167,9.914878,10.020559,3.652115,21371349
